entity,ean,description,gtin,width,height,length,net_weight,gross_weight,created_at,updated_at,release_date,price,avg_price,max_price,min_price,gtins[0].gtin,gtins[0].commercial_unit.type_packaging,gtins[0].commercial_unit.quantity_packaging,gtins[0].commercial_unit.ballast,gtins[0].commercial_unit.layer,origin,barcode_image,api_status,thumbnail,brand.name,brand.picture,ncm.code,ncm.description,ncm.full_description,ncm.ex,gtins[1].gtin,gtins[1].commercial_unit.type_packaging,gtins[1].commercial_unit.quantity_packaging,gtins[1].commercial_unit.ballast,gtins[1].commercial_unit.layer,category.id,category.description,category.parent_id,cest.id,cest.code,cest.description,cest.parent_id,gtins[2].gtin,gtins[2].commercial_unit.type_packaging,gtins[2].commercial_unit.quantity_packaging,gtins[2].commercial_unit.ballast,gtins[2].commercial_unit.layer
Air Fryer,0618231568338,FRITADEIRA AIR FRYER,618231568338,,,,,,2023-05-07T17:00:23.000-03:00,2023-05-07T17:00:24.000-03:00,,,,0,0,618231568338,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/78746D3F49921C0B925A42EDF7181AA9.png,,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,0618231568550,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,0618341418264,AIR FRYER DUPLA LABR,618341418264,,,,,,2023-06-12T09:13:31.000-03:00,2024-10-07T10:25:58.000-03:00,,,,0,0,618341418264,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/C61BF4573474CE84B2F1308DB594E6B9.png,,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,0622356559133,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,0622356635042,NINJA - AIR FRYER PRO 4-IN-1 WITH 5 QT CAPACITY - GRAY,622356635042,26.3906,26.3906,,,,2026-03-21T08:37:03.000-03:00,2026-03-21T08:37:05.000-03:00,,,,0,0,622356635042,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/CCF2700C27C353485F85D55FEE352A5B.png,,https://cdn-cosmos.bluesoft.com.br/products/622356635042,NINJA,/assets/brand-placeholder-7080174fbd24025783105a607811edad.png,,,,,,,,,,,,,,,,,,,,,
Air Fryer,0630941399200,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,0652185374027,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,0723509817732,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,0810002863592,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,2504956166684,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,3016661156960,FRITADEIRA ELETRICA S/OLEO AIRFRY MODERNA EY1208B1/PZO-3519 ARNO,3016661156960,,,,,,2020-11-18T19:28:09.000-03:00,2024-11-18T20:31:19.000-03:00,,,,0,0,3016661156960,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7651862CFC686D31AE0A6AEFE97089B6.png,,,,,85167920,Fritadoras,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Aquecedores elétricos de água, incluindo os de imersão; aparelhos elétricos para aquecimentodeambientes,dosoloouparausossemelhantes;aparelhos eletrotérmicos para arranjos do cabelo (por exemplo, secadores de cabelo, frisadores, aquecedores de ferros de frisar) ou para secar as mãos; ferros elétricos de passar; outros aparelhos eletrotérmicos de uso doméstico; resistências de aquecimento, exceto as da posição 85.45. - Outros aparelhos eletrotérmicos: - Outros - Fritadoras",,,,,,,,,,,,,,,,,,
Air Fryer,3045387297206,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,4722879710359,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,4897121005160,"FRITADEIRA ELETRICA GAABOR SEM OLEO DIGITAL 3,5L AIR FRYER 127V 220V",4897121005160,,,,,,2025-04-26T13:30:03.000-03:00,2026-09-09T15:48:29.000-03:00,,,,0,0,4897121005160,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/45C21792ADBCA68297BD267C7B3A87CD.png,,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,7798357873561,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,7799254027972,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,7842714006410,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Air Fryer,7891356081118,FRITAD BRITANIA AIR 3.5L PT 220V BRF10P,7891356081118,,,,,,2021-05-17T12:02:53.000-03:00,2023-03-15T01:03:38.000-03:00,,,,0,0,7891356081118,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7273861E81AD72DA3D9ADECE1BF93D29.png,,,,,85167910,Panelas,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Aquecedores elétricos de água, incluindo os de imersão; aparelhos elétricos para aquecimentodeambientes,dosoloouparausossemelhantes;aparelhos eletrotérmicos para arranjos do cabelo (por exemplo, secadores de cabelo, frisadores, aquecedores de ferros de frisar) ou para secar as mãos; ferros elétricos de passar; outros aparelhos eletrotérmicos de uso doméstico; resistências de aquecimento, exceto as da posição 85.45. - Outros aparelhos eletrotérmicos: - Outros - Panelas",,,,,,,,,,,,,,,,,,
Air Fryer,7891356083587,FRIT AIR FRY BRITANIA C TRIB 41 53%,7891356083587,,,,,,2021-01-19T16:27:33.000-03:00,2025-12-01T19:55:39.000-03:00,,,,0,0,7891356083587,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7273861E81AD72DA06E124616EF8B19A.png,,,,,85167920,Fritadoras,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Aquecedores elétricos de água, incluindo os de imersão; aparelhos elétricos para aquecimentodeambientes,dosoloouparausossemelhantes;aparelhos eletrotérmicos para arranjos do cabelo (por exemplo, secadores de cabelo, frisadores, aquecedores de ferros de frisar) ou para secar as mãos; ferros elétricos de passar; outros aparelhos eletrotérmicos de uso doméstico; resistências de aquecimento, exceto as da posição 85.45. - Outros aparelhos eletrotérmicos: - Outros - Fritadoras",,,,,,,,,,,,,,,,,,
Air Fryer,7891356086649,FRITADEIRA AIR FRY BFR10VI BRITANIA VERMELHO 110V,7891356086649,,,,,,2020-10-14T05:54:33.000-03:00,2023-02-02T14:15:45.000-03:00,,,,0,0,7891356086649,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7273861E81AD72DA4F08CAB5FBCDCE49.png,,,,,85167920,Fritadoras,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Aquecedores elétricos de água, incluindo os de imersão; aparelhos elétricos para aquecimentodeambientes,dosoloouparausossemelhantes;aparelhos eletrotérmicos para arranjos do cabelo (por exemplo, secadores de cabelo, frisadores, aquecedores de ferros de frisar) ou para secar as mãos; ferros elétricos de passar; outros aparelhos eletrotérmicos de uso doméstico; resistências de aquecimento, exceto as da posição 85.45. - Outros aparelhos eletrotérmicos: - Outros - Fritadoras",,,,,,,,,,,,,,,,,,
Air Fryer,7891356093241,FRIT BRITANIA OVEN BFR2100P 2EM1 12L PT 220V,7891356093241,,,,,,2021-10-30T00:36:26.000-03:00,2026-01-11T10:56:32.000-03:00,,,,0,0,7891356093241,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/7273861E81AD72DABD893BEE03D6C9C5.png,,,,,85167920,Fritadoras,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Aquecedores elétricos de água, incluindo os de imersão; aparelhos elétricos para aquecimentodeambientes,dosoloouparausossemelhantes;aparelhos eletrotérmicos para arranjos do cabelo (por exemplo, secadores de cabelo, frisadores, aquecedores de ferros de frisar) ou para secar as mãos; ferros elétricos de passar; outros aparelhos eletrotérmicos de uso doméstico; resistências de aquecimento, exceto as da posição 85.45. - Outros aparelhos eletrotérmicos: - Outros - Fritadoras",,,,,,,,,,,,,,,,,,
